xeon,e5-2690v4,e7-8890v3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
skylake,6130,8156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3par,8200,8400,8440,8450,9450,20450,20800,20840,20850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
storeonce,vsa,3100,3520,3540,5100,5500,6600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nimble,cs1000h,cs1000,cs3000,cs5000,cs7000,af1000,af3000,af5000,af7000,af9000,sf100,sf300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
edgeline,el10,el20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
moonshot,m400,m510,m700,m700p,m710p,m710x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msa,1040,2040,2042,2050,2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oceanstor,5300,5500,5600,5800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
proliant,EasyConnectEC200a,MicroServerGen8,DL385pGen8,ML10Gen9,ML30Gen9,ML110Gen9,ML150Gen9,ML350Gen9,DL20Gen9,DL60Gen9,DL80Gen9,DL120Gen9,DL160Gen9,DL180Gen9,DL360Gen9,DL380Gen9,DL560Gen9,DL580Gen9,MicroServerGen10,ML110Gen10,ML350Gen10,DL360Gen10,DL380Gen10,DL560Gen10,DL580Gen10
