Intel XEON ,Clock speed,Core per socket
,GHz,cores
e5-2603v2,1.8,4
e5-2603v3,1.6,6
e5-2603v4,1.7,6
e5-2609v2,2.5,4
e5-2609v3,1.9,6
e5-2609v4,1.7,8
e5-2620v2,2.1,6
e5-2620v3,2.4,6
e5-2620v4,2.1,8
e5-2623v3,3,4
e5-2623v4,2.6,4
e5-2630v2,2.6,6
e5-2630v3,2.4,8
e5-2630v4,2.2,10
e5-2630Lv2,2.4,6
e5-2630Lv3,1.8,8
e5-2630Lv4,1.8,10
e5-2637v2,3.5,4
e5-2637v3,3.5,4
e5-2637v4,3.5,4
e5-2640v2,2,8
e5-2640v3,2.6,8
e5-2640v4,2.4,10
e5-2643v2,3.5,6
e5-2643v3,3.4,6
e5-2643v4,3.4,6
e5-2650v2,2.6,8
e5-2650v3,2.3,10
e5-2650v4,2.2,12
e5-2660v2,2,8
e5-2660v3,2.6,10
e5-2660v4,2,14
e5-2667v2,3.3,8
e5-2667v3,3.2,8
e5-2667v4,3.2,8
e5-2680v2,2.8,10
e5-2680v3,2.5,12
e5-2680v4,2.4,14
e5-2683v3,2,14
e5-2683v4,2.1,16
e5-2687Wv3,3.1,10
e5-2687Wv4,3.2,12
e5-2690v2,3,10
e5-2690v3,2.6,12
e5-2690v4,2.6,14
e5-2695v2,2.4,12
e5-2695v3,2.3,14
e5-2695v4,2.1,18
e5-2697v2,2.7,12
e5-2697v3,2.6,14
e5-2697v4,2.3,18
e5-2697Av4,2.6,16
e5-2698v3,2.3,16
e5-2698v4,2.2,20
e5-2699v3,2.3,18
e5-2699v4,2.2,22
e5-2699Av4,2.4,22
e5-4610v2,2.3,8
e5-4610v3,1.7,10
e5-4610v4,1.8,10
e5-4620v2,3,8
e5-4620v3,2,10
e5-4620v4,2.1,10
e5-4627v2,3.3,8
e5-4627v3,2.6,10
e5-4627v4,2.6,10
e5-4640v2,2.2,10
e5-4640v3,1.9,12
e5-4650v2,2.4,10
e5-4650v3,2.1,12
e5-4650v4,2.2,14
e5-4655v3,2.9,6
e5-4655v4,2.5,8
e5-4667v3,2,16
e5-4667v4,2.2,18
e5-4669v3,2.1,18
e5-4669v4,2.2,22
e7-4809v2,1.9,6
e7-4809v3,2,8
e7-4809v4,2.1,8
e7-4820v2,2,8
e7-4820v3,1.9,10
e7-4820v4,2,10
e7-4830v2,2.2,10
e7-4830v3,2.1,12
e7-4830v4,2,14
e7-4850v2,2.3,12
e7-4850v3,2.2,14
e7-4850v4,2.1,16
e7-4860v2,2.6,12
e7-8855v4,2.1,14
e7-8857v2,3,12
e7-8860v3,2.2,16
e7-8860v4,2.2,18
e7-8867v3,2.5,16
e7-8867v4,2.4,18
e7-8870v3,2.1,18
e7-8870v4,2.1,20
e7-8880v3,2.3,18
e7-8880v4,2.2,22
e7-8890v3,2.5,18
e7-8890v4,2.2,24
e7-8891v2,3.2,10
e7-8891v3,2.8,10
e7-8891v4,2.8,10
e7-8893v2,3.4,6
e7-8893v3,3.2,4
e7-8893v4,3.2,4
e7-8894v4,2.4,24
DESC,Please input correct Xeon model ex: E7-8880v3 or E5-2697v4

