,EasyConnectEC200a,MicroServerGen8,DL385pGen8,ML10Gen9,ML30Gen9,ML110Gen9,ML150Gen9,ML350Gen9,DL20Gen9,DL60Gen9,DL80Gen9,DL120Gen9,DL160Gen9,DL180Gen9,DL360Gen9,DL380Gen9,DL560Gen9,DL580Gen9,MicroServerGen10,ML110Gen10,ML350Gen10,DL360Gen10,DL380Gen10,DL560Gen10,DL580Gen10
,,,,,,,,,,,,,,,,,,,,,,,,,
Number of processors,1,1,1 or 2,1,1,1,1 or 2,1 or 2,1,1 or 2,1 or 2,1,1 or 2,1 or 2,1 or 2,1 or 2,"1, 2, or 4","2, 3, or 4",1,1,1 or 2,1 or 2,1 or 2,"1, 2, or 4","1, 2, 3 or 4"
Processors supported,Intel Xeon D-1518,Intel Xeon E3-1220L v2,AMD Opteron 6300 Series,Intel Xeon E3-1200 v5 series,Intel Xeon E3-1200 v5/v6 series,"Intel Xeon E5-2600 v3/v4 series, Intel Xeon E5-1600 v3/v4 series",Intel Xeon E5-2600 v3/v4 series,Intel Xeon E5-2600 v3/v4 series,Intel Xeon E3-1200 v5/v6 series,Intel Xeon E5-2600 v3/v4 series,Intel Xeon E5-2600 v3/v4 series,Intel Xeon E5-2600 v3/v4 series Intel Xeon E5-1600 v3/v4 series,Intel Xeon E5-2600 v3/v4 series,Intel Xeon E5-2600 v3/v4 series,Intel Xeon E5-2600 v3/v4 series,Intel Xeon E5-2600 v3/v4 series,Intel Xeon E5-4600 v3/v4 series,"Intel Xeon E7-4800 v3/v4 series, Intel Xeon E7-8800 v3/v4 series",AMD Opteron™ X3421,"Intel Xeon Scalable processor 5100, 4100,and 3100 series","Intel Xeon Scalable processor 8100,
6100, 5100, 4100, 3100 series","Intel Xeon Scalable processor 8100,
6100, 5100, 4100, 3100 series","Intel Xeon Scalable processor 8100, 6100, 5100, 4100, and 3100 series","Intel Xeon Scalable processor 8100, 6100, and 5100 series","Intel Xeon Scalable processor 8100, 6100, and 5100 series"
Cores per processor,4,2,4/8/12/16,2/4,2/4,4/6/8/10,6/8/10/12/14/16/18,4/6/8/10/12/14/16/18/20/22,2/4,4/6/8/10/12/14,4/6/8/10/12/14,4/6/8/10/12/14/16/18/20/22,4/6/8/10/12/14/16/18,4/6/8/10/12/14/16/18,4/6/8/10/12/14/16/18/20/22,4/6/8/10/12/14/16/18/20/22,6/10/12/14/16/18/20/22,4/8/10/12/14/16/18/20/22/24,2/4,4/6/8/14,4/6/8/10/12/14/16/18/20/22/24/26/28,4/6/8/10/12/14/16/18/20/22/24/26/28,4/6/8/10/12/14/16/18/20/22/24/26/28,4/6/8/10/12/14/16/18/20/22/24/26/28,4/6/8/10/12/14/16/18/20/22/24/26/28
Maximum processor,2.2 GHz/6 MB,2.5 GHz/3 MB,3.5 GHz/16 MB,3.3 GHz/8 MB,3.6 GHz/8 MB,3.5 GHz/35 MB,2.6 GHz/35 MB,3.5 GHz/55 MB,3.9 GHz/8 MB,3 GHz/30 MB,3 GHz/30 MB,3.5 GHz/45 MB,3.0 GHz/45 MB,3.0 GHz/45 MB,3.5 GHz/55 MB,3.5 GHz/55 MB,2.6 GHz/55 MB,3.2 GHz/60 MB,3.4 GHz/2 MB,3.6 GHz/19.25 MB,3.6 GHz/38.5 MB,3.6 GHz/38.5 MB,3.6 GHz/38.5 MB,3.6 GHz/38.5 MB,3.6 GHz/38.5 MB
I/O expansion slots,NA,"1 PCIe 3.0/2.0 (processor dependent), 1 x 16, 1 LP","Up to 6 PCIe 2.0, 1 x 16, 4 x 8, 1 x 4, 2 FH/FL,
4 FH/HL","4 PCIe 3.0, 1 x 16, 1 x 8, 2 x 4,4 FH/HL","4 PCIe 3.0, 1 x 16, 1 x 8, 2 x 4,3 FH/FL, 1 FH/HL","Up to 5 PCIe 3.0, 1 x16, 2 x 8, 2 x 4,","Up to 6 PCIe 3.0, 2 x 16, 4 x 8, 3 FH/FL, 3 FH/HL","Up to 1 PCIe 2.0, 8 PCIe 3.0, 4 x 16,
5 x 8, 8 FH & FL, 1 FH/HL","Up to 2 PCIe 3.0, 2 x 8, 2 FH/HL","Up to 3 PCIe 3.0, 1 x 16, 2 x 8, 1 FH/HL, 2 LP","Up to 6 PCIe 3.0, 3 x 16, 3 x 8, 2 FH/HL, 4 LP","Up to 3 PCIe 3.0, 2 x 8, 1 x 16, 1 FH & FL, 2 FH & HL","Up to 3 PCIe 3.0, 1 x 8, 2 x 16, 1 FH & HL, 2 LP","Up to 6 PCIe 3.0, 5 x 8, 1 x 16, 1 FH & FL, 5 FH/HL","Up to 3 PCIe 3.0, 1 x 16, 1 x 8,
1 FH/¾L, 1 FH/HL length","Up to 6 PCIe 3.0, 2 x 16, 4 x 8, 2 FH/FL,
4 FH/HL","Up to 7 PCIe 3.0, 1 x16, 6 x8, 6 FH/HL, 1 LP","Up to 9 PCIe 3.0, 5 x16, 4 x8, 9 FH/FL","2 PCIe 3.0, 1 x 8, 1 x 4","Up to 5 PCIe 3.0, 2 x 16, 3 x 8, 1 FH/FL,","Up to 8 PCIe 3.0, 4 x 16,
4 x 8, 8 FH/FL","Up to 3 PCIe 3.0, 1 x 16, 1 x 8,
1 FH/¾L, 1 FH/HL length",Up to 8 PCIe 3.0,Up to 8 PCIe 3.0,Up to 16 PCIe 3.0
Maximum memory/#,64 GB/2/2400 MT/s,16 GB/2/1600 MT/s,768 GB/24/1600 MT/s,64 GB/4/2133 MT/s,64 GB/4/2133 MT/s,256 GB/8/2400 MT/s,512 GB/16/2400 MT/s,3 TB/24/2400 MT/s,64 GB/4/2133 MT/s,256 GB/8/2400 MT/s,256 GB/8/2400 MT/s,256 GB/8/2400 MT/s,1 TB/16/2400 MT/s; optional NVDIMM,1 TB/16/2400 MT/s,3 TB/24/2400 MT/s,3 TB/24/2400 MT/s,6 TB*/48/2400 MT/s,12 TB*/96/1866 MT/s,32 GB/2/2400 MT/s,192 GB/6/2666 MT/s,1.5 TB/24/2666 MT/s,3 TB/24/2666 MT/s*,3 TB/24/2666 MT/s*,6 TB/48/2666 MT/s*,6 TB/48/2666 MT/s
"Maximum Persistent
Memory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"Up to (16) 8 GB NVDIMMs option
(128 GB max)*",Up to (16) 8 GB NVDIMMs option (128 GB max)*,N/A,N/A,NA,NA,NA,"Up to (12) 16 GB NVDIMMs option
(192 GB max)",Up to (24) 16 GB NVDIMMs option (384 GB max)* Up to 1 TB Scalable Persistent Memory*,Up to (24) 16 GB NVDIMMs option (384 GB max)*,Up to (24) 16 GB NVDIMMs option (384 GB max)*
Storage controller,Embedded SATA controller,"B120i, optional Smart Array P222 via PCIe*","P420i, optional**","Intel RST SATA RAID, optional Smart HBA for external","B140i, optional Smart Array and Smart HBA via PCIe*","B140i, optional Smart Array and Smart HBA via PCIe*","B140i, optional Smart Array and Smart HBA via PCIe*","B140i, optional Flexible Smart Array or HPE Smart Host Bus Adapter Controllers**","B140i, optional Smart Array P440 with FBWC, or H240 Smart HBA via PCIe*","B140i, optional Smart Array and Smart HBA via PCIE","B140i, optional Smart Array and Smart HBA via PCIe*","B140i, optional Smart Array and Smart HBA via PCIe*","B140i, optional Smart Array and Smart HBA via PCIe*","B140i, optional Smart Array and Smart HBA via PCIe*",B140i**,"B140i, optional Flexible Smart Array or Smart SAS HBA controllers**","Embedded SATA, optional, Flexible Smart Array or Smart Array or Smart HBA via PCIe**",P830i**,"Embedded Marvell SATA controller (HW RAID 0, 1, 10 Support)","S100i, optional HPE Smart Array Essential and Performance RAID Controllers","S100i, optional HPE Smart Array Essential and Performance RAID Controllers","S100i, optional HPE Smart Array Essential and Performance RAID Controllers Mode Controllers","S100i, optional HPE Smart Array Essential and
Performance RAID Controllers","S100i, optional HPE Smart Array Essential and Performance RAID Controllers","S100i, optional HPE Smart Array Essential and Performance RAID Controllers"
Maximum storage drive bays,2 LFF SATA,"4 LFF SATA, non-hot plug",12 LFF or 25 SFF HDD/SSD,6 LFF HDD,8 SFF or 4 LFF HDD/SSD,"8 LFF, 16 SFF, or 4 NHP LFF HDD/SSD",10 LFF or 16 SFF HDD/SSD,24 LFF or 48 SFF HDD/SSD Optional: Up to 6 NVMe PCI SSD,4 SFF or 2 LFF HDD/SSD,"4 LFF max. HDD/SSD, M.2 enabled","12 LFF max. HDD/SSD, M.2 enabled","4 LFF or 8 SFF HDD/SSD, M.2 enabled","4 LFF or 8 SFF HDD/SSD, M.2 enabled","12 LFF or 16 SFF HDD/SSD, M.2 enabled","4 LFF or 8 + 2 SFF HDD/SSD,
M.2 enabled Optional: Up to 2 or
6 NVMe PCIe SSD","12 + 3 LFF or 24 + 2 SFF HDD/SSD, M.2 enabled Optional: Up to 6 NVMe PCIe SSD","24 SFF HDD/SSD, M.2 enabled Optional: Up to 6 NVMe PCIe SSD",10 SFF HDD/SSD Optional: Up to 5 NVMe PCIe SSD,"4 LFF SATA, non-hot plug","8 LFF, 16 SFF, or 8 NHP/HP LFF HDD/SSD","24 SFF or 12 LFF HDD/SSD or
8 NVMe or 12 LFF NHP, M.2 SATA/PCIe enabled","10 NVMe + 1 SFF or 8 + 2 + 1 SFF or
4 LFF + 1 SFF SAS/SATA HDD/SSD M.2 SATA/PCIe enabled, optional Dual uFF M.2 Enablement Kits","24 + 6 SFF SAS/SATA HDD/SSD or 12 + 4 + 3 , LFF + 2 SFF SAS/SATA HDD/SSD or 20 NVMe PCI SSD, M.2 enabled, optional dual uFF enablement kits","24 SFF SAS/SATA HDD/SSD with Optional 12 NVMe PCI SSD, M.2 enabled Optional: Dual uFF enablement kits","48 SFF SAS/SATA HDD/SSD Optional: 2 SFF SAS/SATA/NVMe, and 20 NVMe SSD option kits"
