Intel ,Shelf,Clock speed,Core per socket
 , ,GHz,cores
3104,Bronze,1.7,6
3106,Bronze,1.7,8
4108,Silver,1.8,8
4110,Silver,2.1,8
4112,Silver,2.6,4
4114,Silver,2.2,10
4116,Silver,2.1,12
5115,Gold,2.4,10
5118,Gold,2.3,12
5120,Gold,2.2,14
5122,Gold,3.6,4
6126,Gold,2.6,12
6128,Gold,3.4,6
6130,Gold,2.1,16
6132,Gold,2.6,14
6134,Gold,3.2,8
6136,Gold,3,12
6138,Gold,2,20
6140,Gold,2.3,18
6142,Gold,2.6,16
6148,Gold,2.4,20
6150,Gold,2.7,18
6152,Gold,2.1,22
6154,Gold,3,18
8156,Platinum,3.6,4
8160,Platinum,2.1,24
8164,Platinum,2,26
8168,Platinum,2.7,24
8170,Platinum,2.1,26
8176,Platinum,2.1,28
8180,Platinum,2.5,28
DESC,Please input correct Skylake model ex: 4112 or 6128
